frame, seconds, minutes, time, listeners
60, 1.0, 0.016666666666666666, 11:33:34 , 15
120, 2.0, 0.03333333333333333, 11:33:35 , 15
180, 3.0, 0.05, 11:33:36 , 15
240, 4.0, 0.06666666666666667, 11:33:37 , 15
300, 5.0, 0.08333333333333333, 11:33:38 , 15
360, 6.0, 0.1, 11:33:39 , 15
420, 7.0, 0.11666666666666667, 11:33:40 , 15
480, 8.0, 0.13333333333333333, 11:33:41 , 15
540, 9.0, 0.15, 11:33:42 , 15
600, 10.0, 0.16666666666666666, 11:33:43 , 15
660, 11.0, 0.18333333333333332, 11:33:44 , 15
720, 12.0, 0.2, 11:33:45 , 15
780, 13.0, 0.21666666666666667, 11:33:46 , 15
840, 14.0, 0.23333333333333334, 11:33:47 , 15
900, 15.0, 0.25, 11:33:48 , 15
960, 16.0, 0.26666666666666666, 11:33:49 , 15
1020, 17.0, 0.2833333333333333, 11:33:50 , 15
1080, 18.0, 0.3, 11:33:51 , 16
1140, 19.0, 0.31666666666666665, 11:33:52 , 16
1200, 20.0, 0.3333333333333333, 11:33:53 , 16
