frame, seconds, minutes, time, listeners
14651, 244.84128385532767, 4.080688064255461, 22:51:22 , 993
14950, 249.83804475033438, 4.163967412505573, 22:51:27 , 991
15249, 254.83480564534105, 4.247246760755684, 22:51:32 , 991
15548, 259.83156654034775, 4.330526109005796, 22:51:37 , 990
15847, 264.8283274353544, 4.413805457255907, 22:51:42 , 990
16146, 269.8250883303611, 4.497084805506018, 22:51:47 , 990
16445, 274.8218492253678, 4.580364153756131, 22:51:52 , 986
16744, 279.8186101203745, 4.6636435020062414, 22:51:57 , 985
17043, 284.8153710153812, 4.746922850256353, 22:52:02 , 985
17342, 289.81213191038785, 4.8302021985064645, 22:52:07 , 986
17641, 294.8088928053946, 4.913481546756576, 22:52:12 , 981
17940, 299.80565370040125, 4.9967608950066875, 22:52:17 , 981
18239, 304.8024145954079, 5.080040243256799, 22:52:22 , 982
18538, 309.7991754904146, 5.16331959150691, 22:52:27 , 979
18837, 314.7959363854213, 5.246598939757022, 22:52:32 , 979
19136, 319.792697280428, 5.329878288007134, 22:52:37 , 989
19435, 324.7894581754347, 5.413157636257244, 22:52:42 , 993
19734, 329.78621907044135, 5.496436984507356, 22:52:47 , 993
20033, 334.7829799654481, 5.579716332757468, 22:52:52 , 989
20332, 339.77974086045475, 5.662995681007579, 22:52:57 , 990
20631, 344.7765017554614, 5.74627502925769, 22:53:02 , 990
20930, 349.7732626504681, 5.829554377507802, 22:53:07 , 989
21229, 354.7700235454748, 5.912833725757914, 22:53:12 , 989
21528, 359.7667844404815, 5.996113074008025, 22:53:17 , 985
21827, 364.7635453354882, 6.079392422258136, 22:53:22 , 987
22126, 369.76030623049485, 6.162671770508248, 22:53:27 , 984
22425, 374.7570671255016, 6.245951118758359, 22:53:32 , 984
22724, 379.75382802050825, 6.329230467008471, 22:53:37 , 981
23023, 384.7505889155149, 6.412509815258582, 22:53:42 , 982
23322, 389.7473498105216, 6.495789163508693, 22:53:47 , 982
23621, 394.7441107055283, 6.5790685117588055, 22:53:52 , 982
23920, 399.740871600535, 6.662347860008917, 22:53:57 , 977
24219, 404.7376324955417, 6.745627208259028, 22:54:02 , 977
24518, 409.73439339054835, 6.828906556509139, 22:54:07 , 976
24817, 414.7311542855551, 6.9121859047592515, 22:54:12 , 976
25116, 419.72791518056175, 6.995465253009362, 22:54:17 , 976
25415, 424.7246760755684, 7.078744601259474, 22:54:22 , 976
25714, 429.7214369705751, 7.162023949509585, 22:54:27 , 978
26013, 434.7181978655818, 7.245303297759697, 22:54:32 , 978
26312, 439.7149587605885, 7.328582646009808, 22:54:37 , 973
26611, 444.7117196555952, 7.41186199425992, 22:54:42 , 973
26910, 449.70848055060185, 7.49514134251003, 22:54:47 , 972
27209, 454.7052414456086, 7.578420690760143, 22:54:52 , 969
27508, 459.70200234061525, 7.661700039010254, 22:54:57 , 966
27807, 464.6987632356219, 7.744979387260366, 22:55:02 , 966
28106, 469.6955241306286, 7.8282587355104765, 22:55:07 , 962
28405, 474.69228502563533, 7.911538083760589, 22:55:12 , 958
28704, 479.689045920642, 7.9948174320107, 22:55:17 , 958
29003, 484.6858068156487, 8.078096780260811, 22:55:22 , 955
29302, 489.68256771065535, 8.161376128510922, 22:55:27 , 952
29601, 494.6793286056621, 8.244655476761034, 22:55:32 , 952
29900, 499.67608950066875, 8.327934825011146, 22:55:37 , 955
30199, 504.6728503956754, 8.411214173261257, 22:55:42 , 952
