frame, seconds, minutes, time, listeners
59, 0.9833517414378914, 0.016389195690631523, 14:03:14 , 12
118, 1.9667034828757828, 0.032778391381263046, 14:03:15 , 12
177, 2.950055224313674, 0.04916758707189457, 14:03:16 , 12
236, 3.9334069657515656, 0.06555678276252609, 14:03:17 , 12
295, 4.916758707189457, 0.08194597845315761, 14:03:18 , 12
354, 5.900110448627348, 0.09833517414378914, 14:03:19 , 12
413, 6.88346219006524, 0.11472436983442066, 14:03:20 , 12
472, 7.866813931503131, 0.13111356552505218, 14:03:21 , 12
531, 8.850165672941023, 0.1475027612156837, 14:03:22 , 23
590, 9.833517414378914, 0.16389195690631522, 14:03:23 , 23
649, 10.816869155816805, 0.18028115259694674, 14:03:24 , 23
708, 11.800220897254697, 0.1966703482875783, 14:03:25 , 23
767, 12.783572638692588, 0.2130595439782098, 14:03:26 , 23
826, 13.76692438013048, 0.22944873966884133, 14:03:27 , 23
885, 14.75027612156837, 0.24583793535947285, 14:03:28 , 23
944, 15.733627863006262, 0.26222713105010437, 14:03:29 , 23
1003, 16.716979604444152, 0.2786163267407359, 14:03:30 , 23
1062, 17.700331345882045, 0.2950055224313674, 14:03:31 , 23
1121, 18.683683087319935, 0.3113947181219989, 14:03:31 , 23
1180, 19.667034828757828, 0.32778391381263045, 14:03:32 , 23
1239, 20.650386570195717, 0.34417310950326196, 14:03:33 , 23
1298, 21.63373831163361, 0.3605623051938935, 14:03:34 , 23
1357, 22.6170900530715, 0.376951500884525, 14:03:35 , 23
1416, 23.600441794509393, 0.3933406965751566, 14:03:36 , 23
1475, 24.583793535947283, 0.40972989226578804, 14:03:37 , 23
1534, 25.567145277385176, 0.4261190879564196, 14:03:38 , 27
1593, 26.550497018823066, 0.4425082836470511, 14:03:39 , 27
1652, 27.53384876026096, 0.45889747933768266, 14:03:40 , 27
1711, 28.51720050169885, 0.4752866750283141, 14:03:41 , 27
1770, 29.50055224313674, 0.4916758707189457, 14:03:42 , 27
1829, 30.48390398457463, 0.5080650664095772, 14:03:43 , 27
1888, 31.467255726012525, 0.5244542621002087, 14:03:44 , 27
1947, 32.45060746745042, 0.5408434577908403, 14:03:45 , 27
2006, 33.433959208888304, 0.5572326534814718, 14:03:46 , 27
2065, 34.4173109503262, 0.5736218491721032, 14:03:47 , 27
2124, 35.40066269176409, 0.5900110448627348, 14:03:48 , 27
2183, 36.38401443320198, 0.6064002405533664, 14:03:49 , 27
2242, 37.36736617463987, 0.6227894362439979, 14:03:50 , 27
2301, 38.35071791607776, 0.6391786319346294, 14:03:51 , 27
2360, 39.334069657515656, 0.6555678276252609, 14:03:52 , 27
2419, 40.31742139895355, 0.6719570233158925, 14:03:53 , 27
2478, 41.300773140391435, 0.6883462190065239, 14:03:54 , 27
2537, 42.28412488182933, 0.7047354146971555, 14:03:55 , 27
2596, 43.26747662326722, 0.721124610387787, 14:03:56 , 27
2655, 44.250828364705114, 0.7375138060784185, 14:03:57 , 27
2714, 45.234180106143, 0.75390300176905, 14:03:58 , 27
2773, 46.217531847580894, 0.7702921974596816, 14:03:59 , 27
2832, 47.20088358901879, 0.7866813931503132, 14:04:00 , 27
